TempC_olv,H2O_olv,,TempC_plg,H2O_plg
1441.35136231576,0,,1000,4.39305834541899
1426.68058907906,0.5,,1010,4.22093168658644
1412.30545913253,1,,1020,4.05141144481282
1398.21712498195,1.5,,1030,3.88443198700096
1384.40708867602,2,,1040,3.71993790647699
1370.86718471315,2.5,,1050,3.55788353380209
1357.58956394168,3,,1060,3.39823236400982
1344.56667838672,3.5,,1070,3.24095642005561
1331.79126694195,4,,1080,3.08603556877093
1319.25634186949,4.5,,1090,2.93345680091119
1306.95517605502,5,,1100,2.78321348108335
1294.88129096936,5.5,,1110,2.63530456655687
1283.02844529117,6,,1120,2.48973378630805
1271.39062414894,6.5,,1130,2.34650876314673
1259.96202894307,7,,1140,2.20564005248108
,,,1150,2.0671400611977
,,,1160,1.93102179928321
,,,1170,1.79729740534481
,,,1180,1.66597637546969
,,,1190,1.53706341354433
,,,1200,1.41055581162775
,,,1210,1.28644026352608
,,,1220,1.16468901718154
,,,1230,1.04525528753633
,,,1240,0.928067889990913
,,,1250,0.813025126959541
,,,1260,0.699988081459462
,,,1270,0.588773658289468
,,,1280,0.479147978265842
,,,1290,0.370821073924588
,,,1300,0.263444226636199
