Number,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Cr2O3,NiO
1,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
2,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
3,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
4,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
5,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
6,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
7,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
8,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
9,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
10,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
11,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
12,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
13,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
14,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
15,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
16,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
17,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
18,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
19,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
20,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
21,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
22,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
23,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
24,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
25,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
26,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
27,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
28,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
29,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
30,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
31,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
32,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
33,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
34,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
35,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
36,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
37,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
38,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
39,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
40,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
41,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
42,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
43,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
44,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
45,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
46,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
47,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
48,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
49,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
50,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
51,39.59,0,0,19.77,0.25,42.18,0.15,0,0,0,0.14
