Number,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Pbar,H2O
1,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,0.000
2,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,0.500
3,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,1.000
4,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,1.500
5,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,2.000
6,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,2.500
7,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,3.000
8,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,3.500
9,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,4.000
10,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,4.500
11,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,5.000
12,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,5.500
13,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,6.000
14,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,6.500
15,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,7.000
16,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,7.500
17,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,8.000
18,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,8.500
19,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,9.000
20,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,9.500
21,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,10.000
