,0
0,1529.0521985042737
1,1512.5520057981898
2,1496.4041225458475
3,1480.597384256488
4,1465.1210932371744
5,1449.964994448595
6,1435.119252844098
7,1420.5744320867286
8,1406.3214745474886
9,1392.351682495727
10,1378.6567003995835
11,1365.228498260801
12,1352.059355914063
13,1339.1418482263518
14,1326.4688311367033
15,1314.0334284812134
16,1301.8290195522372
17,1289.8492273444915
18,1278.0879074442175
19,1266.5391375207232
20,1255.1972073825518
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
