Num,TempC,Pbar,An,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,putirka,waters
1,1040,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,5.941561848,3.696658808
2,1050,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,5.739333548,3.534501482
3,1060,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,5.537105248,3.374756685
4,1070,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,5.334876949,3.217386595
5,1080,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,5.132648649,3.062360289
6,1090,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,4.930420349,2.909653184
7,1100,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,4.728192049,2.759246432
8,1110,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,4.52596375,2.611126281
9,1120,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,4.32373545,2.465283384
10,1130,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,4.12150715,2.321712061
11,1140,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,3.919278851,2.180409485
12,1150,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,3.717050551,2.041374784
13,1160,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,3.514822251,1.904608015
14,1170,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,3.312593952,1.770108996
15,1180,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,3.110365652,1.637875946
16,1190,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,2.908137352,1.507903889
17,1200,3000,86,50.93,1.34,17.52,10.6,0.18,5.37,9.86,2.65,0.7,2.705909052,1.380182783
