SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Cr2O3,NiO
52.3,0.7,3,5.1,0.11,16.6,21.5,0.33,0,0.58,0
51.7,0.28,8.38,6.69,0.15,21.4,11.7,0.64,0,0.05,0
51.5,0.45,8.1,6.96,0.17,20.3,12.6,0.56,0,0.09,0
51.06,0.62,3.16,6.18,0.12,15.78,20.82,0.27,0,0.01,0
53.32,0.48,2.25,5.92,0.15,16.91,20.73,0.28,0,0.12,0
51.58,0,7.28,3.75,0,19.55,15.94,0.7,0,1.2,0
51.12,0.1,8.07,3.57,0,17.95,17.26,0.77,0,1.16,0
52.5,0,5.19,4.12,0,21.28,15.45,0,0,1.45,0
51.8,0.17,5.1,4.6,0.19,21.5,14.9,0.21,0,1.58,0
51.67,0.16,5.62,4.45,0.16,21.82,14.34,0.22,0,1.56,0
53,0.11,4.5,5.1,0.2,24.7,10.9,0.16,0,1.5,0
51.64,0.38,8.16,3.97,0,19.66,14.85,0.66,0,0.75,0
51.3,0.19,7.2,3.9,0.09,17.6,19.1,0.5,0,0.5,0
52.4,0.14,6,4.1,0.08,19.4,17.6,0.49,0,0.9,0
52,0.14,9.39,4.89,0.06,20.8,13.3,0.69,0,0.09,0
52.9,0.35,7.4,5.2,0.17,23.1,11.6,0.55,0,0.12,0
51.3,0.53,9.15,7.15,0.19,20.6,10.8,0.93,0,0.08,0
51.5,0.49,8.97,6.53,0.18,20.9,11.1,0.74,0,0.08,0
50.93,0.81,9.02,5.82,0,18.51,13.34,1.23,0,0.34,0
51.63,0.4,8.59,6.96,0,21.39,9.76,0.97,0,0.29,0
51.39,0.83,9.38,7.57,0,19.55,9.49,1.64,0,0.15,0
54.68,0,2.65,4.39,0.12,26.41,9.15,0.09,0,1.76,0
52.98,0.14,5.04,3.48,0.11,19.61,17.76,0.23,0,1.36,0
53.77,0.11,4.31,3.6,0.11,20.51,16.95,0.23,0,1.51,0
50.05,0.29,2.59,12.87,0.23,11.18,22.14,0.16,0,0,0
